city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
puerto maldonado,-12.6,-69.18,78.8,78,75,4.7,1603902020,PE
qom,34.64,50.88,63.79,28,0,8.52,1603902020,IR
provideniya,64.38,-173.3,24.62,89,45,4.59,1603901876,RU
iqaluit,63.75,-68.51,17.6,61,90,9.17,1603901888,CA
kamenka,51.32,42.77,36.0,51,0,10.33,1603902020,RU
khatanga,71.97,102.5,-2.72,91,40,3.4,1603901860,RU
guerrero negro,27.98,-114.06,64.44,29,0,1.14,1603901755,MX
nueve de julio,-35.44,-60.88,52.0,93,100,5.01,1603902021,AR
nago,26.59,127.98,66.2,88,1,5.82,1603902021,JP
homer,59.64,-151.55,29.37,86,1,4.7,1603902021,US
shizunai,42.33,142.37,53.37,81,96,16.28,1603902020,JP
hilo,19.73,-155.09,69.37,83,75,1.7,1603902021,US
bayanday,53.07,105.51,30.09,93,20,4.74,1603902021,RU
mao,39.89,4.27,66.2,63,0,5.82,1603902081,ES
carnarvon,-24.87,113.63,71.6,88,0,21.92,1603901873,AU
sangar,63.92,127.47,-2.85,91,78,6.53,1603902081,RU
hithadhoo,-0.6,73.08,83.77,72,20,11.61,1603901860,MV
ponta delgada,37.73,-25.67,66.2,59,40,8.05,1603902082,PT
jamestown,42.1,-79.24,44.56,100,90,8.05,1603901746,US
plettenberg bay,-34.05,23.37,63.59,75,85,4.65,1603902082,ZA
touros,-5.2,-35.46,86.0,58,75,18.34,1603902082,BR
bethel,41.37,-73.41,47.35,100,90,4.7,1603901870,US
andenes,69.31,16.12,33.8,63,0,8.05,1603902082,NO
leningradskiy,69.38,178.42,18.36,87,100,6.8,1603901889,RU
makakilo city,21.35,-158.09,70.5,94,20,3.36,1603901683,US
bluff,-46.6,168.33,48.0,90,92,3.0,1603901874,NZ
upernavik,72.79,-56.15,11.86,80,14,6.91,1603901861,GL
lebu,-37.62,-73.65,54.79,63,0,11.12,1603901865,CL
puerto quijarro,-17.78,-57.77,101.25,32,4,7.18,1603902083,BO
dalbandin,28.89,64.41,59.36,28,0,3.06,1603902083,PK
bealanana,-14.55,48.73,67.55,74,100,3.36,1603902083,MG
marsh harbour,26.54,-77.06,81.5,78,5,15.86,1603902083,BS
acapulco,16.86,-99.89,82.4,83,75,3.36,1603901594,MX
bredasdorp,-34.53,20.04,69.8,49,96,14.99,1603902083,ZA
chimbote,-9.09,-78.58,68.36,70,79,11.54,1603902083,PE
lar,26.2,83.97,72.79,36,0,3.24,1603902083,IN
aswan,24.09,32.91,87.64,16,0,3.8,1603902084,EG
east london,-33.02,27.91,69.8,83,90,8.05,1603901861,ZA
maceio,-9.67,-35.74,87.8,58,75,16.11,1603901922,BR
caconda,-13.73,15.07,67.71,73,98,10.8,1603902084,AO
hambantota,6.12,81.12,80.06,83,100,14.32,1603901878,LK
doctor juan manuel frutos,-25.37,-55.8,92.05,31,0,2.46,1603902084,PY
sitka,57.05,-135.33,42.8,87,90,8.05,1603901888,US
longyearbyen,78.22,15.64,30.2,86,75,3.36,1603901879,SJ
thompson,55.74,-97.86,10.4,72,75,9.17,1603901864,CA
new norfolk,-42.78,147.06,50.0,87,90,2.24,1603901861,AU
launceston,-41.45,147.17,47.88,87,90,6.93,1603901932,AU
yellowknife,62.46,-114.35,19.2,92,90,5.77,1603901856,CA
san carlos de bariloche,-41.15,-71.31,48.2,45,40,29.97,1603902066,AR
tuatapere,-46.13,167.68,48.0,90,99,3.0,1603901931,NZ
bengkulu,-3.8,102.27,76.37,86,100,3.74,1603901887,ID
los llanos de aridane,28.66,-17.92,68.92,53,75,11.41,1603901915,ES
yar-sale,66.83,70.83,4.1,89,10,10.89,1603902085,RU
kapaa,22.08,-159.32,76.48,70,8,4.41,1603901867,US
biltine,14.53,20.92,94.64,15,0,8.81,1603902085,TD
koceljeva,44.47,19.81,55.72,93,75,5.82,1603902085,RS
kalmunai,7.42,81.82,81.19,71,37,3.4,1603902085,LK
chokurdakh,70.63,147.92,1.56,94,98,7.85,1603901854,RU
bambous virieux,-20.34,57.76,73.99,74,94,5.99,1603901872,MU
severo-kurilsk,50.68,156.12,41.68,86,7,3.85,1603901866,RU
norman wells,65.28,-126.83,12.2,92,75,2.24,1603901892,CA
talikota,16.48,76.32,75.87,52,15,6.44,1603902086,IN
novobirilyussy,56.95,90.67,33.01,91,100,15.14,1603902086,RU
coquimbo,-29.95,-71.34,60.8,67,0,12.75,1603901869,CL
birin,26.89,88.07,56.34,81,0,5.35,1603902086,NP
mandalgovi,45.76,106.27,35.4,60,25,9.62,1603901911,MN
sao pedro do sul,-29.62,-54.18,78.8,41,20,6.93,1603902086,BR
feijo,-8.16,-70.35,96.01,41,95,5.28,1603902147,BR
chiredzi,-21.05,31.67,86.49,20,0,9.26,1603902147,ZW
half moon bay,37.46,-122.43,57.25,62,5,3.0,1603901879,US
payakumbuh,-0.22,100.63,69.94,88,75,3.49,1603902147,ID
